Max Price,Value_10,Value_09,Value_08,Value_07,Value_06,Value_05,Value_04,Value_03,Value_02,Value_01
10000,8548,8548,8556,8568,8569,8576,8586,8596,8609,8651
12000,9035,9041,9044,9068,9095,9118,9174,9191,9194,9201
14000,9724,9730,9731,9738,9745,9747,9754,9806,9813,9914
16000,10128,10130,10131,10135,10154,10193,10213,10215,10230,10233
18000,10642,10643,10663,10674,10692,10733,10740,10766,10772,10790
20000,10790,10807,10825,10825,10831,10833,10833,10905,10923,10923
22000,10833,10833,10845,10845,10865,10883,10883,10905,10923,10923
24000,10833,10833,10845,10845,10865,10883,10883,10905,10923,10923
